geography code,Percent no qualifications 16 and over,Percent bad and very band health,Population density per km,Percent lone family household
E01000462,15.90649943,6.426484907,779.9,2.699228792
E01000463,11.19920714,2.478017586,3155.9,3.011093502
E01000464,22.72727273,5.467720685,4730,2.092675635
E01000465,21.98142415,7.383343178,4276,2.386934673
E01000466,19.84555985,4.436660829,340.4,5.498281787
E01000467,20.33359809,5.005959476,334.2,6.544901065
E01000468,13.94345951,2.89904502,497,3.827751196
E01000469,16.38330757,3.509781358,1418.9,4.890387858
E01000470,22.34927235,5.500381971,400.9,2.907915994
E01000471,27.82369146,3.542392567,149.6,5.24691358
E01000472,20.02135611,3.244592346,282.2,4.517704518
E01000473,36.91886964,3.512014787,1453,4.413793103
E01000474,35.26259378,3.036971831,685,5.021520803
E01000475,27.27272727,3.391427226,2707.9,4.021164021
E01000476,35.57744937,3.961748634,245.5,3.607503608
E01000477,36.40724947,2.777777778,758.7,3.727714749
E01000478,31.98019802,2.688809806,1862.2,4.58488228
E01000479,19.27297668,3.638430927,1870.7,2.857142857
E01000480,17.40370899,3.55450237,270.8,4.233576642
E01000481,18.62667719,4.220183486,4630.7,2.982954545
E01000483,24.64985994,5.879180151,2736.7,2.450980392
E01000484,24.33004231,8.045325779,3873,4.269081501
E01000485,27.42299023,5.930087391,231.4,2.873563218
E01000486,19.11658219,3.180212014,368.1,4.71281296
E01000487,22.31812577,5.083039758,291.5,3.554119548
E01000488,16.56934307,3.276699029,2011.7,4.488778055
E01000489,13.55463347,6.705202312,3638.1,5.222929936
E01000490,15.64356436,4.796839729,332.2,3.271028037
E01000491,14.57845433,4.211035818,1093.3,2.592087312
E01000492,14.31353457,3.689167975,1642.5,2.98245614
E01000493,16.74347158,3.759398496,2977.2,5.380577428
E01000494,20.58226134,5.042492918,3141.1,5.807365439
E01000495,18.23486506,6.788183532,510.8,5.380577428
E01000497,24.34247342,4.299516908,312.9,3.779069767
E01000498,33.28050713,4.275534442,501,3.138373752
E01000499,26.71280277,4.957805907,4039.7,3.87409201
E01000501,20.95846645,4.775972427,1856.1,4.740200547
E01000502,21.29496403,3.833865815,782.5,4.447439353
E01000503,22.46246246,5.157593123,3699.1,5.405405405
E01000504,14.85832757,3.557531962,3629.6,5.344418052
E01000505,19.42179392,4.952267303,2241.8,3.80952381
E01000506,24.6585736,5.069402535,558.8,4.33604336
E01000507,18.1066867,4.26716141,1120.8,5.665349144
E01000508,25.08161045,5.355776588,7930.4,3.93081761
E01000509,29.69957082,5.702364395,359.3,5.024509804
E01000510,29.10618793,5.322966507,2882.2,3.18627451
E01000511,25.46816479,3.893905192,3733.8,3.826787513
E01000512,16.32363378,4.107981221,2748.4,4.493307839
E01000513,23.8410596,5.780691299,1962.4,4.292527822
E01000514,19.40063091,3.250478011,3790.6,4.106972302
E01000515,24.2506812,4.906666667,520.5,3.004807692
E01000516,20.72593372,3.02771855,3155.9,4.024144869
E01000517,23.30097087,3.203943315,1456.2,4.391468005
E01000518,23.59974827,6.422976501,1273.2,4.454865182
